"Release","File","Feature 1","Feature 2","Feature 3","Feature 4","Feature 5","Feature 6","Feature 7","Feature 8","Feature 9","Feature 10","Buggy"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java","null","null","null","null","null","null","null","null","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java","null","null","null","null","null","null","null","null","null","null","null"
