"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","Feature 9","Feature 10","Buggy"
"1","AbstractBenchmark.java","2","95","31","31","47","47","3","3","null","null","null"
"1","AbstractConfiguration.java","4","57","15","15","15","15","7","7","null","null","null"
"1","AbstractSubscriptionManager.java","3","551","68","68","74","74","8","8","null","null","null"
"1","AbstractTopicManager.java","3","181","36","36","38","38","5","5","null","null","null"
"1","AbstractZkLedgerManager.java","3","255","42","42","44","44","6","6","null","null","null"
"1","AllToAllTopologyFilter.java","1","36","36","36","36","36","1","1","null","null","null"
"1","AlreadyStartDeliveryException.java","1","33","33","33","33","33","1","1","null","null","null"
"1","AsyncCallback.java","3","126","18","18","35","35","7","7","null","null","null"
"1","BaseHandler.java","3","61","20","20","25","25","3","3","null","null","null"
"1","BenchBookie.java","1","194","64","64","68","68","3","3","null","null","null"
"1","BenchmarkPublisher.java","3","123","30","30","32","32","4","4","null","null","null"
"1","BenchmarkSubscriber.java","3","127","25","25","28","28","5","5","null","null","null"
"1","BenchmarkUtils.java","3","171","43","43","44","44","4","4","null","null","null"
"1","BenchmarkWorker.java","2","42","21","21","21","21","2","2","null","null","null"
"1","BenchReadThroughputLatency.java","1","244","122","122","128","128","2","2","null","null","null"
"1","BenchThroughputLatency.java","3","406","81","81","96","96","5","5","null","null","null"
"1","BKException.java","3","254","42","42","44","44","6","6","null","null","null"
"1","BKMBeanInfo.java","1","25","25","25","25","25","1","1","null","null","null"
"1","BKMBeanRegistry.java","1","80","40","40","40","40","2","2","null","null","null"
"1","BKStats.java","1","213","213","213","213","213","1","1","null","null","null"
"1","Bookie.java","4","688","19","19","47","47","35","35","null","null","null"
"1","BookieBean.java","2","46","23","23","24","24","2","2","null","null","null"
"1","BookieBenchmark.java","3","95","19","19","27","27","5","5","null","null","null"
"1","BookieClient.java","4","205","18","18","21","21","11","11","null","null","null"
"1","BookieException.java","4","135","22","22","28","28","6","6","null","null","null"
"1","BookieMXBean.java","2","28","14","14","15","15","2","2","null","null","null"
"1","BookieProtocol.java","3","155","19","19","20","20","8","8","null","null","null"
"1","BookieServer.java","3","457","21","21","27","27","21","21","null","null","null"
"1","BookieServerBean.java","1","81","81","81","81","81","1","1","null","null","null"
"1","BookieServerMXBean.java","1","53","53","53","53","53","1","1","null","null","null"
"1","BookieWatcher.java","3","195","24","24","26","26","8","8","null","null","null"
"1","BookKeeper.java","4","524","32","32","67","67","16","16","null","null","null"
"1","BookKeeperAdmin.java","3","720","72","72","92","92","10","10","null","null","null"
"1","BookkeeperBenchmark.java","3","83","20","20","28","28","4","4","null","null","null"
"1","BookkeeperInternalCallbacks.java","3","119","30","30","31","31","4","4","null","null","null"
"1","BookkeeperPersistenceManager.java","3","816","136","136","165","165","6","6","null","null","null"
"1","BookKeeperTools.java","3","83","10","10","93","93","8","8","null","null","null"
"1","BufferedChannel.java","2","162","32","32","35","35","5","5","null","null","null"
"1","ByteStringInterner.java","1","41","41","41","41","41","1","1","null","null","null"
"1","CacheKey.java","2","67","33","33","34","34","2","2","null","null","null"
"1","CacheValue.java","2","85","28","28","29","29","3","3","null","null","null"
"1","Callback.java","2","43","21","21","23","23","2","2","null","null","null"
"1","CallbackUtils.java","3","165","41","41","46","46","4","4","null","null","null"
"1","ChannelDisconnectListener.java","2","27","13","13","14","14","2","2","null","null","null"
"1","ChannelEndPoint.java","2","77","38","38","38","38","2","2","null","null","null"
"1","ChannelTracker.java","2","112","56","56","57","57","2","2","null","null","null"
"1","Client.java","1","38","38","38","38","38","1","1","null","null","null"
"1","ClientChannelPipelineFactory.java","2","53","17","17","19","19","3","3","null","null","null"
"1","ClientConfiguration.java","3","146","36","36","37","37","11","11","null","null","null"
"1","ConcurrencyUtils.java","1","45","45","45","45","45","1","1","null","null","null"
"1","ConnectCallback.java","3","117","23","23","25","25","5","5","null","null","null"
"1","ConsumeHandler.java","3","65","22","22","22","22","3","3","null","null","null"
