"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","Feature 9","Feature 10","Buggy"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java","1","194","64","64","68","68","3","3","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java","1","244","122","122","128","128","2","2","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java","3","406","81","81","96","96","5","5","null","null","null"
"1","bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","2","124","31","31","54","54","4","4","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","4","688","5","5","34","34","34","34","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java","2","46","23","23","24","24","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","4","135","12","12","19","19","5","5","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java","2","28","14","14","15","15","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","2","162","3","3","6","6","4","4","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java","1","177","88","88","91","91","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java","4","426","1","1","22","22","21","21","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java","1","36","36","36","36","36","1","1","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java","3","230","13","13","21","21","9","9","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java","3","342","85","85","90","90","4","4","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java","3","459","65","65","70","70","7","7","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java","1","29","29","29","29","29","1","1","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java","1","60","30","30","34","34","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java","2","169","42","42","48","48","4","4","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java","2","519","173","173","177","177","3","3","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java","1","143","47","47","48","48","3","3","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java","4","42","30","30","13","13","15","15","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java","1","25","12","12","36","36","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java","3","710","101","101","108","108","7","7","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java","1","54","54","54","54","54","1","1","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java","3","56","7","7","10","10","10","10","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorImpl.java","1","80","40","40","53","53","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java","1","47","23","23","25","25","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java","3","147","2","2","4","4","5","5","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java","1","82","82","82","82","82","1","1","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java","1","133","0","0","0","0","1","1","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java","3","126","2","2","22","22","6","6","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java","3","254","6","6","7","7","5","5","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java","3","195","1","1","3","3","7","7","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java","4","524","10","10","47","47","15","15","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java","3","720","72","72","92","92","10","10","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java","2","50","1","1","4","4","3","3","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java","3","166","0","0","3","3","8","8","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java","3","59","0","0","4","4","4","4","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java","3","135","2","2","6","6","10","10","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java","3","73","0","0","3","3","4","4","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java","2","76","0","0","14","14","3","3","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java","4","815","15","15","49","49","21","21","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java","4","281","8","8","12","12","12","12","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java","3","154","2","2","9","9","10","10","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java","4","138","2","2","6","6","12","12","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java","3","76","3","3","6","6","5","5","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java","3","153","4","4","7","7","6","6","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java","4","171","2","2","5","5","7","7","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java","2","115","10","10","15","15","11","11","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java","2","72","36","36","36","36","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java","3","81","1","1","7","7","3","3","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java","2","77","0","0","0","0","2","2","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java","3","102","25","25","26","26","4","4","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java","2","249","35","35","37","37","7","7","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java","3","495","49","49","52","52","10","10","null","null","null"
"1","bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanInfo.java","1","25","25","25","25","25","1","1","null","null","null"
