"Release","File","# Authors in Release","LOC","Avg Churn in Release","Avg Churn from Start","Avg LOC Added in Release","Avg LOC Added from Start","# Revision in Release","# Revision from Start","# Bug Fix in Release","# Bug Fix from Start","Buggy"
"1","AckRequestProcessor.java","2","41","5","5","6","6","8","8","0","0","0"
"1","AsyncCallback.java","3","47","5","5","6","6","9","9","0","0","1"
"1","AuthenticationProvider.java","2","73","9","9","10","10","8","8","0","0","0"
"1","AuthFastLeaderElection.java","6","809","44","44","185","185","18","18","2","2","1"
"1","BinaryInputArchive.java","2","119","13","13","13","13","9","9","0","0","0"
"1","BinaryOutputArchive.java","3","135","13","13","14","14","10","10","0","0","0"
"1","ByteBufferInputStream.java","2","65","8","8","9","9","8","8","0","0","0"
"1","CGenerator.java","3","80","8","8","8","8","10","10","0","0","0"
"1","ClientCnxn.java","6","928","29","29","84","84","32","32","9","9","1"
"1","ClientWatchManager.java","2","36","11","11","13","13","3","3","2","2","1"
"1","CommitProcessor.java","5","171","10","10","30","30","17","17","2","2","0"
"1","CommonNames.java","2","27","3","3","4","4","7","7","0","0","0"
"1","ConnectionBean.java","3","101","11","11","12","12","9","9","1","1","0"
"1","ConnectionMXBean.java","2","62","8","8","9","9","7","7","0","0","1"
"1","ConnectionObserver.java","2","35","5","5","6","6","7","7","0","0","0"
"1","CppGenerator.java","2","75","8","8","8","8","9","9","0","0","0"
"1","CreateMode.java","1","81","81","81","81","81","1","1","0","0","0"
"1","CsvInputArchive.java","2","189","23","23","23","23","8","8","0","0","0"
"1","CsvOutputArchive.java","4","136","13","13","14","14","10","10","1","1","0"
"1","DataNode.java","4","113","7","7","10","10","15","15","3","3","1"
"1","DataNodeV1.java","1","117","117","117","117","117","1","1","0","0","0"
"1","DataTree.java","5","719","24","24","29","29","29","29","6","6","1"
"1","DataTreeBean.java","2","80","8","8","10","10","9","9","1","1","0"
"1","DataTreeMXBean.java","2","42","6","6","6","6","7","7","0","0","0"
"1","DataTreeObserver.java","2","48","6","6","8","8","7","7","0","0","0"
"1","DataTreeV1.java","1","524","524","524","524","524","1","1","0","0","0"
"1","DigestAuthenticationProvider.java","3","115","10","10","32","32","11","11","0","0","0"
"1","Election.java","4","24","2","2","3","3","10","10","1","1","1"
"1","EventInfo.java","2","27","4","4","4","4","7","7","0","0","0"
"1","FastLeaderElection.java","6","564","29","29","62","62","19","19","9","9","0"
"1","FileSnap.java","3","144","28","28","31","31","5","5","8","8","1"
"1","FileTxnLog.java","2","437","109","109","110","110","4","4","8","8","0"
"1","FileTxnSnapLog.java","3","222","55","55","57","57","4","4","3","3","1"
"1","FinalRequestProcessor.java","6","239","10","10","33","33","22","22","5","5","1"
"1","Follower.java","6","341","15","15","78","78","22","22","4","4","1"
"1","FollowerBean.java","2","26","3","3","4","4","7","7","0","0","0"
"1","FollowerHandler.java","6","356","17","17","54","54","21","21","3","3","0"
"1","FollowerMXBean.java","2","24","3","3","4","4","7","7","0","0","0"
"1","FollowerRequestProcessor.java","5","97","6","6","7","7","16","16","2","2","0"
"1","FollowerSessionTracker.java","3","77","7","7","9","9","10","10","0","0","0"
"1","FollowerSyncRequest.java","2","31","16","16","16","16","2","2","2","2","0"
"1","FollowerZooKeeperServer.java","6","160","7","7","10","10","22","22","4","4","1"
"1","HostAuthenticationProvider.java","2","61","6","6","8","8","9","9","0","0","0"
"1","Index.java","2","36","4","4","4","4","8","8","0","0","0"
"1","InputArchive.java","2","41","5","5","5","5","8","8","0","0","0"
"1","IPAuthenticationProvider.java","2","104","11","11","12","12","9","9","0","0","0"
"1","JavaGenerator.java","2","56","6","6","6","6","9","9","0","0","0"
"1","JBoolean.java","3","39","4","4","4","4","9","9","0","0","0"
"1","JBuffer.java","2","97","12","12","13","13","8","8","0","0","0"
"1","JByte.java","2","32","4","4","4","4","8","8","0","0","0"
