"PROJECT","#TRAIN_RELEASES","ADDONS","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"bookkeeper","5","Best_First_Bidirectional","Naive Bayes","0.012209489129270954","0.14285714285714285","0.024390243902439025","0.7546409214092141","1.0","6.0","354.0","40.0"
"bookkeeper","5","Best_First_Bidirectional","IBK","0.05200945626477542","0.15625","0.12195121951219512","0.622120596205962","5.0","27.0","333.0","36.0"
"bookkeeper","5","Best_First_Bidirectional","Random Forest","0.11423161880719448","0.2777777777777778","0.12195121951219512","0.6269308943089431","5.0","13.0","347.0","36.0"
"bookkeeper","5","Best_First_BidirectionalUnder_Sampling","Naive Bayes","0.11312254259501903","0.24","0.14634146341463414","0.675169376693767","6.0","19.0","341.0","35.0"
"bookkeeper","5","Best_First_BidirectionalUnder_Sampling","IBK","0.13272989426465867","0.18095238095238095","0.4634146341463415","0.6269308943089431","19.0","86.0","274.0","22.0"
"bookkeeper","5","Best_First_BidirectionalUnder_Sampling","Random Forest","0.15921663097787275","0.20224719101123595","0.43902439024390244","0.6307588075880759","18.0","71.0","289.0","23.0"
"bookkeeper","5","Best_First_BidirectionalOver_Sampling","Naive Bayes","0.003314001657000897","0.1111111111111111","0.024390243902439025","0.752879403794038","1.0","8.0","352.0","40.0"
"bookkeeper","5","Best_First_BidirectionalOver_Sampling","IBK","0.062475646187816467","0.15555555555555556","0.17073170731707318","0.6194444444444445","7.0","38.0","322.0","34.0"
"bookkeeper","5","Best_First_BidirectionalOver_Sampling","Random Forest","0.05937751636732803","0.15789473684210525","0.14634146341463414","0.6051151761517615","6.0","32.0","328.0","35.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Naive Bayes","0.039936834598339487","0.2","0.04878048780487805","0.5132791327913279","2.0","8.0","352.0","39.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","IBK","-0.03163829437845575","0.07936507936507936","0.12195121951219512","0.480420054200542","5.0","58.0","302.0","36.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_1","Random Forest","0.13867843474185748","0.1834862385321101","0.4878048780487805","0.6202913279132791","20.0","89.0","271.0","21.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Naive Bayes","0.039936834598339487","0.2","0.04878048780487805","0.5132791327913279","2.0","8.0","352.0","39.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","IBK","-0.03163829437845575","0.07936507936507936","0.12195121951219512","0.480420054200542","5.0","58.0","302.0","36.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Classifier_FP_Cost_3","Random Forest","0.13867843474185748","0.1834862385321101","0.4878048780487805","0.6202913279132791","20.0","89.0","271.0","21.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Naive Bayes","0.039936834598339487","0.2","0.04878048780487805","0.7546409214092141","2.0","8.0","352.0","39.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","IBK","-0.0276323119777162","0.08196721311475409","0.12195121951219512","0.622120596205962","5.0","56.0","304.0","36.0"
"bookkeeper","5","Best_First_BidirectionalSensitive_Learning_FP_Cost_1","Random Forest","0.03259224219489114","0.12345679012345678","0.24390243902439024","0.6020325203252033","10.0","71.0","289.0","31.0"
"bookkeeper","5","None","Naive Bayes","0.12822370945053105","0.2727272727272727","0.14634146341463414","0.7319105691056911","6.0","16.0","344.0","35.0"
"bookkeeper","5","None","IBK","0.025661792915298916","0.13636363636363635","0.07317073170731707","0.6736449864498645","3.0","19.0","341.0","38.0"
"bookkeeper","5","None","Random Forest","0.016889131026968558","0.16666666666666666","0.024390243902439025","0.6763211382113821","1.0","5.0","355.0","40.0"
